Gender,Weight,Waist ,Hip,Chest,Height,Shoulder
0,72,55.88,72.92,118.47,178.47,47.7224
0,70,75.6,72.82,84.83,156.96,48.5606
0,52,59.73,113.98,88.25,168.63,48.6998
0,63,100.06,91.69,103.38,175.88,49.267
0,101,80.6,119.28,76.4,188.3,46.4038
0,56,102.8,95.25,106.47,168.68,49.4492
0,71,57.32,103.63,110.01,166.28,48.0314
0,69,67.54,89.06,113.46,180.74,46.9262
0,51,92.9,63.8,107.44,193.47,47.2764
0,51,86.84,127,121.34,176.79,48.896
0,59,90.32,103.16,116.78,155.27,48.0496
0,70,55.88,69.91,121.92,157.35,48.0494
0,69,63.77,85.74,120.66,150.11,46.6466
0,63,78.86,70.61,104.13,161.87,47.7242
0,66,59.63,57.96,121.43,198.12,47.1536
0,52,101.99,106.7,112.15,168.15,49.9886
0,70,90.77,113.91,107.84,180.58,47.3102
0,80,71.51,83.37,119.86,152.4,46.6142
0,66,61.35,96.49,116.07,179.27,47.7026
0,98,65.6,85.75,75.94,172.19,45.8642
0,71,62.85,101,92.47,150.63,45.1402
0,53,55.88,68.28,101.45,150.68,44.8068
0,80,94.55,101.45,88.96,174.79,49.0118
0,50,58.71,68.54,117.19,168.36,48.7734
0,76,70.42,77.64,119.34,181.88,47.8412
0,73,95.67,100.24,91.2,191.21,48.1112
0,112,102.33,113.33,119.31,176.1,49.658
0,68,96.56,98.91,75.69,178.35,45.9476
0,96,61.37,83.93,83.59,158.19,48.2218
0,62,106.53,120.89,121.92,179.5,47.52
0,78,78.76,94.66,81.92,164.8,47.5542
0,49,60.56,84.97,85.49,192.89,48.3854
0,58,61.24,85.94,88.92,185.01,48.3934
0,46,81.74,94,119.76,173.3,48.9608
0,68,58.79,101.29,102.13,169.54,48.461
0,63,74.66,105.32,106.44,176.4,49.2094
0,54,60.52,91.72,111.94,149.69,46.4944
0,72,64.4,83.53,109.81,181.84,48.344
0,60,55.88,98.38,83.61,182.78,47.7964
0,52,82.96,74.38,119.62,165.08,47.66
0,69,59.31,96.38,113.49,148.05,46.3174
0,72,64.1,86.8,76.52,149.55,44.4064
0,72,59.96,114.86,119.63,149.16,46.849
0,60,65.94,63.37,110.21,172.29,47.8462
0,57,88.1,107.2,103.3,154.57,48.3914
0,67,63.16,82.73,118.51,164.07,48.4712
0,70,99.28,84.2,121.92,184.87,48.0606
0,72,78.55,85.61,112.5,189.12,48.0598
0,60,58.75,112.4,84.39,175.78,48.9542
0,51,97.49,79.29,81.96,166.15,47.9508
0,63,81.13,103.81,121.92,159.04,47.9554
0,55,71.63,68.72,117.63,152.58,46.0548
0,41,73.73,75.21,101.59,185.28,48.1974
0,56,105.55,114.75,110.42,155.26,49.2474
0,66,97.86,70.77,121.92,189.28,47.799
0,76,66.27,111.95,112.9,153.5,47.0454
0,60,83.1,85.09,115.66,167.56,48.4222
0,82,57.93,112.56,111.26,160.95,48.5726
0,50,76.48,101.5,83.93,181.3,47.8718
0,60,65.89,121.05,96.96,169.06,48.8468
0,62,55.88,104.54,92.25,163.93,47.9552
0,71,96.83,75.53,109.94,186.06,48.0276
0,76,91.69,78.37,91.17,151.14,46.483
0,59,60.24,111.62,121.92,168.14,48.8268
0,74,90,90.08,121.92,160.47,47.9622
0,52,63.62,71.29,118.23,166.42,48.0838
0,55,103.28,115.8,121.92,149.86,47.8062
0,67,62.9,101.5,113.92,149.65,46.7878
0,57,56.99,87.79,92.81,183.05,48.0604
0,75,60.8,86.53,87.18,156.24,48.2004
0,72,55.88,55.98,118.7,181.39,46.4922
0,64,70.61,91.19,95.96,185.1,48.1056
0,51,87.99,74.1,98.48,191.08,47.9012
0,45,61.83,92.55,108.96,147.32,46.1416
0,61,74.07,77.82,77,187.2,46.293
0,81,72.36,92.52,83.43,164.16,48.059
0,69,64.24,77.89,94.72,177.08,49.2162
0,82,73.62,96.08,116.39,171.47,48.918
0,74,62.39,95.94,118.7,181.38,48.1914
0,68,87.36,77.09,105.49,183.36,47.547
0,52,61.55,106.57,74.26,164.55,45.7284
0,73,67.67,92.97,110.51,152.75,45.2472
0,55,58.95,91.35,115.15,161.97,48.3354
0,91,63.71,108.94,110.36,152.43,45.5294
0,70,62.92,101.41,94.33,170.83,48.445
0,74,72.96,99.37,93.92,154.3,48.3178
0,76,102.81,95.54,109.59,163.02,48.319
0,88,64.65,84.29,112.63,170.36,48.717
0,56,56.03,104.33,115.65,154,47.1778
